	rt	int	ion_annotation	run	run_name
66	2686.761	131.02754240287595	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
67	2690.17399999998	71.17402016507413	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
68	2693.5879999999797	0.0	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
69	2697.0010000000198	48.5287425168508	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
70	2700.41500000002	30.734180202330208	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
71	2703.828	35.587614812584434	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
72	2707.24399999998	61.46981978321264	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
73	2710.659	19.411175010930037	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
74	2714.0719999999797	32.35230020845847	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
75	2717.4850000000197	11.323324005900304	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
76	2720.8990000000204	19.411397030182798	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
77	2724.31300000002	29.11675087932508	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
78	2727.72700000002	30.73426667208423	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
79	2731.14199999998	17.793876564667244	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
80	2734.55599999998	24.2639643494158	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
81	2737.96999999998	19.41162538980734	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
82	2741.3830000000203	53.38125857542764	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
83	2744.7960000000003	22.646406677608866	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
84	2748.21	45.29274021876972	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
85	2751.62299999998	29.117380077821053	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
86	2755.0369999999803	0.0	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
87	2758.45300000002	45.29286379647601	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
88	2761.86700000002	6.470452367238977	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
89	2765.28100000002	19.41151964894061	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
90	2768.694	35.58759927113897	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
91	2772.1079999999997	3.2351438643445363	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
92	2775.52099999998	3.235226988749673	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
93	2778.93499999998	19.411253120438232	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
94	2782.34899999998	85.7342601885307	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
95	2785.764	90.5859169396308	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
96	2789.178	134.58373133113355	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
97	2792.59099999998	491.43093502842135	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
98	2796.00400000002	1647.0580788239204	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
99	2799.41800000002	2172.449831474233	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
100	2802.8320000000203	2345.062912843804	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
101	2806.245	2246.5565210008153	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
102	2809.65799999998	1941.3061050319811	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
